都道府県,市区町村,住所,都道府県_候補,市区町村_候補,住所c_候補,住所d_候補,住所e_候補,match_score,match_status,不一致理由
青森県,弘前市,桔梗野4丁目9−26,青森県,弘前市,大字石川,字桔梗長根,,25.87,unmatched,住所類似度しきい値未満
青森県,弘前市,元寺町 35,青森県,弘前市,大字悪戸,字村元,,20.83,unmatched,住所類似度しきい値未満
青森県,弘前市,末広1丁目3−1,青森県,弘前市,大字鬼沢,字広野,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,城東中央3丁目1−25,青森県,弘前市,大字石川,字中坪,,17.22,unmatched,住所類似度しきい値未満
青森県,弘前市,高田5丁目3−3,青森県,弘前市,大字駒越,字高田,,30.25,unmatched,住所類似度しきい値未満
青森県,弘前市,中野1丁目11−6,青森県,弘前市,大字中野,アザヤマネ,,26.78,unmatched,住所類似度しきい値未満
青森県,弘前市,松原西1丁目14−19,青森県,弘前市,大字松木平,字西ノ神,,23.0,unmatched,住所類似度しきい値未満
青森県,弘前市,城東3丁目6−1,青森県,弘前市,大字大沢,字東前田,,18.12,unmatched,住所類似度しきい値未満
青森県,弘前市,富田町 34−34,青森県,弘前市,大字清水富田,字寺沢,,27.99,unmatched,住所類似度しきい値未満
青森県,弘前市,中野2丁目6−21,青森県,弘前市,大字中野,アザヤマネ,,26.78,unmatched,住所類似度しきい値未満
青森県,弘前市,向外瀬4丁目14−1,青森県,弘前市,大字向外瀬,字岩木,,36.67,unmatched,住所類似度しきい値未満
青森県,弘前市,城東中央4丁目3−31 笹村 歯科医院,青森県,弘前市,大字悪戸,字村元,,15.42,unmatched,住所類似度しきい値未満
青森県,弘前市,桔梗野2丁目5−23,青森県,弘前市,大字石川,字桔梗長根,,25.87,unmatched,住所類似度しきい値未満
青森県,弘前市,泉野2丁目18−6,青森県,弘前市,大字石川,字泉田,,18.12,unmatched,住所類似度しきい値未満
青森県,弘前市,下白銀町 15−4,青森県,弘前市,大字町田,字沖田,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,中野5丁目12−27,青森県,弘前市,大字中野,アザヤマネ,,25.87,unmatched,住所類似度しきい値未満
青森県,弘前市,大久保西田105−27,青森県,弘前市,大字百沢,字久保田,,39.56,unmatched,住所類似度しきい値未満
青森県,弘前市,城西4丁目1−13,青森県,弘前市,大字狼森,字西元,,18.12,unmatched,住所類似度しきい値未満
青森県,弘前市,松森町 75,青森県,弘前市,大字狼森,字天王,,20.83,unmatched,住所類似度しきい値未満
青森県,弘前市,中野4丁目6−10,青森県,弘前市,大字中野,アザヤマネ,,26.78,unmatched,住所類似度しきい値未満
青森県,弘前市,五十石町 2,青森県,弘前市,大字藍内,字立石,,20.83,unmatched,住所類似度しきい値未満
青森県,弘前市,西川岸町 1,青森県,弘前市,大字石川,字家岸,,31.67,unmatched,住所類似度しきい値未満
青森県,弘前市,駒越町 22−1,青森県,弘前市,大字駒越,字高田,,31.75,unmatched,住所類似度しきい値未満
青森県,弘前市,青山5丁目27−1,青森県,弘前市,大字悪戸,字青柳,,18.12,unmatched,住所類似度しきい値未満
青森県,弘前市,和泉1丁目4−7,青森県,弘前市,大字中畑,字和泉,,30.25,unmatched,住所類似度しきい値未満
青森県,弘前市,大開2丁目1−12,青森県,弘前市,大字大沢,字大開,,29.17,unmatched,住所類似度しきい値未満
青森県,弘前市,茂森新町 1丁目7−6,青森県,弘前市,大字田茂木町,字山王,,23.68,unmatched,住所類似度しきい値未満
青森県,弘前市,茂森町 121,青森県,弘前市,大字田茂木町,字山王,,27.33,unmatched,住所類似度しきい値未満
青森県,弘前市,城東中央3丁目10−19,青森県,弘前市,大字石川,字中坪,,16.84,unmatched,住所類似度しきい値未満
青森県,弘前市,田園4丁目12−21,青森県,弘前市,大字沢田,字園村,,25.29,unmatched,住所類似度しきい値未満
青森県,弘前市,土手町 123−1,青森県,弘前市,大字黒土,字鎧田,,18.67,unmatched,住所類似度しきい値未満
青森県,弘前市,大町 2丁目3−12 横山ビル 2階,青森県,弘前市,大字田茂木町,字山王,,26.25,unmatched,住所類似度しきい値未満
青森県,弘前市,大清水4丁目8−6,青森県,弘前市,大字乳井,字大清水,,38.33,unmatched,住所類似度しきい値未満
青森県,弘前市,大浦町 4,青森県,弘前市,大字賀田,字大浦,,38.01,unmatched,住所類似度しきい値未満
青森県,弘前市,北横町 42,青森県,弘前市,大字船水,字横船,,20.83,unmatched,住所類似度しきい値未満
青森県,八戸市,鷹匠小路12ｰ1,青森県,八戸市,大字売市,字小待,,18.67,unmatched,住所類似度しきい値未満
青森県,八戸市,田向2丁目6−10,青森県,八戸市,大字是川,字田向,,28.94,unmatched,住所類似度しきい値未満
青森県,八戸市,田向1丁目6−5,青森県,八戸市,大字是川,字田向,,30.25,unmatched,住所類似度しきい値未満
青森県,八戸市,根城9丁目4−7,青森県,八戸市,大字根城,字根城,,30.83,unmatched,住所類似度しきい値未満
青森県,八戸市,南類家3丁目6−6,青森県,八戸市,大字類家,字堤端,,28.94,unmatched,住所類似度しきい値未満
青森県,八戸市,根城2丁目30−28,青森県,八戸市,大字根城,字根城,,28.21,unmatched,住所類似度しきい値未満
青森県,八戸市,田向2丁目15−10,青森県,八戸市,大字是川,字田向,,27.79,unmatched,住所類似度しきい値未満
青森県,八戸市,北白山台5丁目1−7,青森県,八戸市,大字根城,字白山平,,26.78,unmatched,住所類似度しきい値未満
青森県,八戸市,一番町 2丁目1−5,青森県,八戸市,大字鮫町,字安川目,,25.29,unmatched,住所類似度しきい値未満
青森県,八戸市,沢里二ツ屋3−12,青森県,八戸市,大字是川,字二ツ屋,,38.33,unmatched,住所類似度しきい値未満
青森県,八戸市,大久保小久保尻17−14,青森県,八戸市,大字大久保,字小久保尻,,61.36,unmatched,住所類似度しきい値未満
青森県,八戸市,下長8丁目11−8,青森県,八戸市,大字大久保,字下長根,,26.78,unmatched,住所類似度しきい値未満
青森県,八戸市,吹上3丁目3−5,青森県,八戸市,大字市川町,字吹上,,28.94,unmatched,住所類似度しきい値未満
青森県,八戸市,沼館4丁目4−8 2F,青森県,八戸市,大字沼館,字大須賀,,26.78,unmatched,住所類似度しきい値未満
青森県,八戸市,尻内町 直田73,青森県,八戸市,大字尻内町,字直田,,63.83,unmatched,住所類似度しきい値未満
青森県,八戸市,青葉3丁目4−1,青森県,八戸市,大字大久保,字沢目,,18.12,unmatched,住所類似度しきい値未満
青森県,八戸市,長苗代2丁目17−5,青森県,八戸市,大字長苗代,字悪虫,,36.67,unmatched,住所類似度しきい値未満
青森県,八戸市,根城3丁目23−16,青森県,八戸市,大字根城,字根城,,28.21,unmatched,住所類似度しきい値未満
青森県,八戸市,吹上6丁目5−1,青森県,八戸市,大字市川町,字吹上,,28.94,unmatched,住所類似度しきい値未満
青森県,八戸市,類家5丁目38−18,青森県,八戸市,大字類家,字堤端,,27.79,unmatched,住所類似度しきい値未満
青森県,八戸市,東白山台2丁目26−3,青森県,八戸市,大字根城,字白山平,,25.87,unmatched,住所類似度しきい値未満
青森県,八戸市,新井田西3丁目18−10,青森県,八戸市,大字新井田,字西平,,40.38,unmatched,住所類似度しきい値未満
青森県,八戸市,売市 4丁目5−19,青森県,八戸市,大字売市,字滝,,30.25,unmatched,住所類似度しきい値未満
青森県,八戸市,白銀町 右岩淵通19−2,青森県,八戸市,大字白銀町,字右岩淵通,,65.83,unmatched,住所類似度しきい値未満
青森県,八戸市,根城2丁目13−12,青森県,八戸市,大字根城,字根城,,28.21,unmatched,住所類似度しきい値未満
青森県,八戸市,白銀3丁目14−7,青森県,八戸市,大字白銀町,字新九郎蒔目,,31.56,unmatched,住所類似度しきい値未満
青森県,八戸市,尻内町 八百刈23−7,青森県,八戸市,大字尻内町,字八百刈,,61.82,unmatched,住所類似度しきい値未満
青森県,八戸市,田向5丁目28−1,青森県,八戸市,大字是川,字田向,,28.94,unmatched,住所類似度しきい値未満
青森県,八戸市,城下3丁目13−15 樋口ビル,青森県,八戸市,大字是川,字北城下,,23.66,unmatched,住所類似度しきい値未満
青森県,八戸市,諏訪3丁目1−21,青森県,八戸市,大字類家,字諏訪ノ後,,26.78,unmatched,住所類似度しきい値未満
青森県,八戸市,長根4丁目11−9,青森県,八戸市,大字売市,字長根,,28.94,unmatched,住所類似度しきい値未満
青森県,八戸市,城下1丁目15−28,青森県,八戸市,大字是川,字北城下,,26.78,unmatched,住所類似度しきい値未満
青森県,八戸市,南類家2丁目2−9 南類家2丁目2-9 山口歯科 ■■■治療■■治療■頭痛■噛み合わせ■歯槽膿漏■おすすめ■■評判,青森県,八戸市,大字類家,字堤端,,15.06,unmatched,住所類似度しきい値未満
青森県,八戸市,南類家1丁目12−4,青森県,八戸市,大字類家,字堤端,,27.79,unmatched,住所類似度しきい値未満
